"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bouwen en wonen/Woningvoorraad/Voorraad op 1 januari (aantal)";"Onderwijs/Naar schoolgemeente/Leerlingen/Basisonderwijs (aantal)"
"2000";"Aa en Hunze";24824;9964;2329
"2001";"Aa en Hunze";25208;10116;2305
"2002";"Aa en Hunze";25552;10172;2307
"2003";"Aa en Hunze";25305;10239;2282
"2004";"Aa en Hunze";25218;10316;2297
"2005";"Aa en Hunze";25329;10374;2364
"2006";"Aa en Hunze";25507;10471;2379
"2007";"Aa en Hunze";25563;10508;2405
"2008";"Aa en Hunze";25598;10636;2390
"2009";"Aa en Hunze";25675;10649;2394
"2010";"Aa en Hunze";25563;10763;2351
"2011";"Aa en Hunze";25785;10797;2264
"2012";"Aa en Hunze";25738;12414;2178
"2013";"Aa en Hunze";25541;11214;2062
"2014";"Aa en Hunze";25357;11173;1946
"2015";"Aa en Hunze";25203;11150;1864
"2016";"Aa en Hunze";25243;11131;1754
"2017";"Aa en Hunze";25286;11145;1730
"2018";"Aa en Hunze";25390;11165;1735
"2019";"Aa en Hunze";25386;11257;1723
"2020";"Aa en Hunze";25445;11179;1649
"2021";"Aa en Hunze";25399;11207;1591
"2022";"Aa en Hunze";25579;11336;
"2000";"Aalburg";11774;4023;1263
"2001";"Aalburg";11928;4096;1257
"2002";"Aalburg";12006;4110;1283
"2003";"Aalburg";12087;4131;1306
"2004";"Aalburg";12204;4165;1315
"2005";"Aalburg";12164;4190;1299
"2006";"Aalburg";12222;4205;1285
"2007";"Aalburg";12293;4293;1300
"2008";"Aalburg";12386;4352;1295
"2009";"Aalburg";12556;4465;1295
"2010";"Aalburg";12614;4483;1267
"2011";"Aalburg";12685;4499;1234
"2012";"Aalburg";12749;4769;1191
"2013";"Aalburg";12774;4857;1185
"2014";"Aalburg";12846;4971;1148
"2015";"Aalburg";12922;5020;1151
"2016";"Aalburg";13038;5031;1122
"2017";"Aalburg";13067;5071;1127
"2018";"Aalburg";13153;5109;1141
"2019";"Aalburg";;;
"2020";"Aalburg";;;
"2021";"Aalburg";;;
"2022";"Aalburg";;;
"2000";"Aalsmeer";22461;8759;2260
"2001";"Aalsmeer";22662;8864;2282
"2002";"Aalsmeer";22786;8981;2274
"2003";"Aalsmeer";22839;9034;2299
"2004";"Aalsmeer";22915;9034;2280
"2005";"Aalsmeer";23296;9118;2353
"2006";"Aalsmeer";24145;9211;2448
"2007";"Aalsmeer";25019;9833;2542
"2008";"Aalsmeer";26386;10436;2771
"2009";"Aalsmeer";28006;11278;2971
"2010";"Aalsmeer";29187;11741;3115
"2011";"Aalsmeer";30189;11764;3238
"2012";"Aalsmeer";30364;12267;3308
"2013";"Aalsmeer";30618;12354;3299
"2014";"Aalsmeer";30759;12780;3319
"2015";"Aalsmeer";31077;12803;3321
"2016";"Aalsmeer";31299;12893;3275
"2017";"Aalsmeer";31373;12919;3179
"2018";"Aalsmeer";31499;12888;3110
"2019";"Aalsmeer";31728;13091;3003
"2020";"Aalsmeer";31859;13217;2865
"2021";"Aalsmeer";31991;13284;2757
"2022";"Aalsmeer";32452;13368;
"2000";"Aalten";18699;7028;2028
"2001";"Aalten";18773;7045;2018
"2002";"Aalten";18811;7055;2001
"2003";"Aalten";18855;7105;1986
"2004";"Aalten";18998;7178;1978
"2005";"Aalten";27446;10676;2815
"2006";"Aalten";27476;10726;2831
"2007";"Aalten";27570;10889;2795
"2008";"Aalten";27568;11059;2782
"2009";"Aalten";27447;11130;2791
"2010";"Aalten";27500;11218;2753
"2011";"Aalten";27439;11267;2736
"2012";"Aalten";27305;11504;2639
"2013";"Aalten";27082;11451;2604
"2014";"Aalten";27013;11687;2585
"2015";"Aalten";26904;11775;2504
"2016";"Aalten";26912;11811;2448
"2017";"Aalten";27047;11872;2411
"2018";"Aalten";26962;11922;2302
"2019";"Aalten";27011;11971;2270
"2020";"Aalten";27121;11976;2218
"2021";"Aalten";27120;12028;2134
"2022";"Aalten";27100;12095;
"2000";"Ter Aar";9074;3146;1027
"2001";"Ter Aar";9080;3157;1000
"2002";"Ter Aar";9083;3157;1001
"2003";"Ter Aar";9080;3214;922
"2004";"Ter Aar";9010;3249;880
"2005";"Ter Aar";8999;3274;857
"2006";"Ter Aar";8988;3320;860
"2007";"Ter Aar";;;
"2008";"Ter Aar";;;
"2009";"Ter Aar";;;
"2010";"Ter Aar";;;
"2011";"Ter Aar";;;
"2012";"Ter Aar";;;
"2013";"Ter Aar";;;
"2014";"Ter Aar";;;
"2015";"Ter Aar";;;
"2016";"Ter Aar";;;
"2017";"Ter Aar";;;
"2018";"Ter Aar";;;
"2019";"Ter Aar";;;
"2020";"Ter Aar";;;
"2021";"Ter Aar";;;
"2022";"Ter Aar";;;
"2000";"Aarle-Rixtel";;;
"2001";"Aarle-Rixtel";;;
"2002";"Aarle-Rixtel";;;
"2003";"Aarle-Rixtel";;;
"2004";"Aarle-Rixtel";;;
"2005";"Aarle-Rixtel";;;
"2006";"Aarle-Rixtel";;;
"2007";"Aarle-Rixtel";;;
"2008";"Aarle-Rixtel";;;
"2009";"Aarle-Rixtel";;;
"2010";"Aarle-Rixtel";;;
"2011";"Aarle-Rixtel";;;
"2012";"Aarle-Rixtel";;;
"2013";"Aarle-Rixtel";;;
"2014";"Aarle-Rixtel";;;
"2015";"Aarle-Rixtel";;;
"2016";"Aarle-Rixtel";;;
"2017";"Aarle-Rixtel";;;
"2018";"Aarle-Rixtel";;;
"2019";"Aarle-Rixtel";;;
"2020";"Aarle-Rixtel";;;
"2021";"Aarle-Rixtel";;;
"2022";"Aarle-Rixtel";;;
"2000";"Abcoude";8482;3414;967
"2001";"Abcoude";8487;3414;991
"2002";"Abcoude";8524;3417;1007
"2003";"Abcoude";8595;3417;1033
"2004";"Abcoude";8624;3446;1057
"2005";"Abcoude";8603;3481;1065
"2006";"Abcoude";8670;3497;1075
"2007";"Abcoude";8651;3497;1090
"2008";"Abcoude";8688;3504;1120
"2009";"Abcoude";8680;3511;1144
"2010";"Abcoude";8764;3627;1109
"2011";"Abcoude";;;
"2012";"Abcoude";;;
"2013";"Abcoude";;;
"2014";"Abcoude";;;
"2015";"Abcoude";;;
"2016";"Abcoude";;;
"2017";"Abcoude";;;
"2018";"Abcoude";;;
"2019";"Abcoude";;;
"2020";"Abcoude";;;
"2021";"Abcoude";;;
"2022";"Abcoude";;;
"2000";"Achtkarspelen";28011;10894;2848
"2001";"Achtkarspelen";28013;10929;2818
"2002";"Achtkarspelen";28045;10976;2769
"2003";"Achtkarspelen";28102;11048;2798
"2004";"Achtkarspelen";28156;11087;2831
"2005";"Achtkarspelen";28134;11204;2857
"2006";"Achtkarspelen";28223;11268;2886
"2007";"Achtkarspelen";28143;11303;2929
"2008";"Achtkarspelen";28088;11425;2938
"2009";"Achtkarspelen";28139;11493;2945
"2010";"Achtkarspelen";28088;11537;2939
"2011";"Achtkarspelen";28123;11566;2921
"2012";"Achtkarspelen";28091;11663;2935
"2013";"Achtkarspelen";28110;11711;2871
"2014";"Achtkarspelen";28016;11894;2803
"2015";"Achtkarspelen";27983;11917;2778
"2016";"Achtkarspelen";28007;11946;2707
"2017";"Achtkarspelen";27893;12028;2629
"2018";"Achtkarspelen";27935;12075;2599
"2019";"Achtkarspelen";27852;12118;2530
"2020";"Achtkarspelen";27843;12129;2482
"2021";"Achtkarspelen";27900;12181;2431
"2022";"Achtkarspelen";27954;12264;
"2000";"Akersloot";4907;1860;610
"2001";"Akersloot";5013;1903;592
"2002";"Akersloot";;;
"2003";"Akersloot";;;
"2004";"Akersloot";;;
"2005";"Akersloot";;;
"2006";"Akersloot";;;
"2007";"Akersloot";;;
"2008";"Akersloot";;;
"2009";"Akersloot";;;
"2010";"Akersloot";;;
"2011";"Akersloot";;;
"2012";"Akersloot";;;
"2013";"Akersloot";;;
"2014";"Akersloot";;;
"2015";"Akersloot";;;
"2016";"Akersloot";;;
"2017";"Akersloot";;;
"2018";"Akersloot";;;
"2019";"Akersloot";;;
"2020";"Akersloot";;;
"2021";"Akersloot";;;
"2022";"Akersloot";;;
"2000";"Alblasserdam";18183;7290;2020
"2001";"Alblasserdam";18410;7433;2042
"2002";"Alblasserdam";18388;7406;2048
"2003";"Alblasserdam";18425;7424;2039
"2004";"Alblasserdam";18386;7355;2025
"2005";"Alblasserdam";18356;7484;2024
"2006";"Alblasserdam";18426;7578;2037
"2007";"Alblasserdam";18666;7516;2043
"2008";"Alblasserdam";18718;7644;2070
"2009";"Alblasserdam";18839;7692;2104
"2010";"Alblasserdam";19014;7745;2067
"2011";"Alblasserdam";19208;7933;2060
"2012";"Alblasserdam";19467;8083;2111
"2013";"Alblasserdam";19643;8111;2098
"2014";"Alblasserdam";19801;8122;2084
"2015";"Alblasserdam";19845;8138;2057
"2016";"Alblasserdam";19955;8220;2054
"2017";"Alblasserdam";20008;8252;2030
"2018";"Alblasserdam";20014;8276;2052
"2019";"Alblasserdam";20069;8324;2066
"2020";"Alblasserdam";20165;8353;2029
"2021";"Alblasserdam";20136;8408;1949
"2022";"Alblasserdam";20087;8415;
"2000";"Albrandswaard";16420;6416;1712
"2001";"Albrandswaard";17721;7036;1975
"2002";"Albrandswaard";18092;7125;2009
"2003";"Albrandswaard";18737;7406;1945
"2004";"Albrandswaard";19607;7826;1986
"2005";"Albrandswaard";20606;8241;2042
"2006";"Albrandswaard";21059;8462;1962
"2007";"Albrandswaard";21523;8563;2204
"2008";"Albrandswaard";22453;9033;2283
"2009";"Albrandswaard";22974;9187;2394
"2010";"Albrandswaard";24191;9777;2459
"2011";"Albrandswaard";24674;9996;2510
"2012";"Albrandswaard";25003;9822;2581
"2013";"Albrandswaard";25101;10059;2581
"2014";"Albrandswaard";25069;10165;2583
"2015";"Albrandswaard";25148;10167;2556
"2016";"Albrandswaard";24985;10208;2527
"2017";"Albrandswaard";25105;10286;2499
"2018";"Albrandswaard";25218;10333;2503
"2019";"Albrandswaard";25271;10347;2482
"2020";"Albrandswaard";25590;10517;2479
"2021";"Albrandswaard";25814;10573;2477
"2022";"Albrandswaard";25934;10622;
"2000";"Alkemade";14433;5188;1647
"2001";"Alkemade";14395;5218;1607
"2002";"Alkemade";14409;5250;1598
"2003";"Alkemade";14428;5225;1581
"2004";"Alkemade";14481;5284;1508
"2005";"Alkemade";14501;5326;1496
"2006";"Alkemade";14512;5351;1523
"2007";"Alkemade";14536;5397;1509
"2008";"Alkemade";14481;5410;1496
"2009";"Alkemade";;;
"2010";"Alkemade";;;
"2011";"Alkemade";;;
"2012";"Alkemade";;;
"2013";"Alkemade";;;
"2014";"Alkemade";;;
"2015";"Alkemade";;;
"2016";"Alkemade";;;
"2017";"Alkemade";;;
"2018";"Alkemade";;;
"2019";"Alkemade";;;
"2020";"Alkemade";;;
"2021";"Alkemade";;;
"2022";"Alkemade";;;
"2000";"Alkmaar";92836;39891;8678
"2001";"Alkmaar";93022;40042;8408
"2002";"Alkmaar";92992;40185;8280
"2003";"Alkmaar";93390;41008;8447
"2004";"Alkmaar";94121;41826;8310
"2005";"Alkmaar";94266;41991;8088
"2006";"Alkmaar";94455;42362;8197
"2007";"Alkmaar";94174;42509;8127
"2008";"Alkmaar";93876;42648;8133
"2009";"Alkmaar";93416;42844;8139
"2010";"Alkmaar";93861;43067;8096
"2011";"Alkmaar";93936;43231;7990
"2012";"Alkmaar";94269;43703;7904
"2013";"Alkmaar";94505;44049;7871
"2014";"Alkmaar";94866;44884;7886
"2015";"Alkmaar";107106;50076;8861
"2016";"Alkmaar";107615;50346;8816
"2017";"Alkmaar";108373;50513;8747
