,id,statcode,statnaam,jrstatcode,rubriek,geometry,Id,Measure,ValueAttribute,bevolkingsdichtheid,WijkenEnBuurten
0,cbs_gemeente_2017_gegeneraliseerd.227606,GM0003,Appingedam,2017GM0003,gemeente,"MULTIPOLYGON (((254580.6743 594573.5057, 254603.842 595659.224, 254793.855 596044.448, 254774.5456 596453.0685, 254110.229 596684.641, 254010.476 596199.699, 253549.285 596082.983, 252522.097 596317.759, 251999.263 596313.167, 251857.594 596435.456, 251581.159 596364.682, 251378.348 596179.6, 251305.698 596015.55, 251412.913 595233.109, 251528.549 595164.909, 251709.392 594777.312, 251655.985 594637.044, 251427.7759 594486.7471, 251260.5275 594393.8272, 250690.24 594432.67, 250018.33 594159.699, 249843.86 594143.51, 249828.91 594276.8, 249624.1176 594206.2868, 249548.46 593775.56, 249430.39 593592.86, 249550.9486 593214.6751, 249389.0031 593097.3732, 249699.9 592624.96, 249941.25 592019.74, 249669.55 591857.82, 250151.0912 591064.5096, 250309.343 590800.727, 250871.433 591083.571, 251077.834 590369.525, 251716.8928 590306.6355, 252264.58 590277.1, 252605.808 591053.507, 253213.869 590986.602, 253248.169 590838.27, 254497.068 591048.586, 254500.664 591182.758, 255019.4317 591238.251, 255043.074 592491.441, 254983.2482 592485.9827, 254809.0599 592703.1484, 254684.212 593252.836, 254695.9458 594020.4368, 254580.6743 594573.5057)))",141844,M000100,None,503.0,GM0003
1,cbs_gemeente_2017_gegeneraliseerd.227607,GM0005,Bedum,2017GM0005,gemeente,"MULTIPOLYGON (((235432.131 595115.6255, 236140.837 595267.52, 236092.211 595617.885, 235876.746 595571.83, 235490.046 596313.104, 234999.84 595762.714, 234593.335 595924.195, 234182.435 596322.898, 234074.468 596296.662, 234002.195 596120.964, 233695.802 596088.107, 233589.7611 595627.5426, 233666.2605 594950.1773, 233359.6636 593250.0017, 233192.9349 592614.2756, 233048.8519 589658.117, 232936.896 588241.69, 232729.412 587651.1752, 232574.0523 587091.0148, 232683.003 586831.276, 232762.514 586809.551, 233687.853 586983.975, 233741.706 586750.451, 234872.018 586789.99, 234977.51 586881.888, 235161.2402 586891.2478, 235027.476 586146.209, 235080.0139 586129.1446, 235109.7338 586121.082, 235331.1271 586087.9303, 236363.971 585931.954, 236374.771 585672.583, 237167.869 585693.713, 237238.778 585468.151, 238286.198 585690.653, 238352.882 585711.41, 238324.266 585993.388, 238163.652 586631.974, 237647.206 587348.31, 237935.2044 588082.2013, 239442.591 592095.811, 239209.81 592153.94, 238889.9 592080.94, 238636.57 592149.24, 238331.487 592739.645, 237150.709 592703.944, 236677.217 593681.729, 236757.166 593903.035, 236478.678 594434.486, 236145.373 594456.394, 235910.595 594350.136, 235657.7168 595019.5005, 235465.6951 595006.2636, 235432.131 595115.6255)))",181996,M000100,None,235.0,GM0005
2,cbs_gemeente_2017_gegeneraliseerd.227608,GM0007,Bellingwedde,2017GM0007,gemeente,"MULTIPOLYGON (((276518.0677 566843.1256, 276412.58 567587.25, 276562.27 571156.33, 275221.031 572043.366, 275398.67 572334.63, 275248.34 572398.96, 275089.495 572653.374, 274991.9113 573110.8723, 274894.253 573894.351, 274991.216 573865.885, 275174.229 574102.872, 275346.316 574614.351, 275583.445 574979.932, 275539.811 575747.875, 275122.955 575718.008, 274720.574 575462.593, 274536.721 574948.943, 272773.3211 576198.4336, 272585.307 576330.695, 272451.699 575918.426, 272254.4133 575636.0382, 271873.755 575407.612, 271294.594 575252.483, 270666.9093 574863.9489, 270080.143 574449.159, 269755.049 574311.491, 269489.571 574318.87, 268890.668 574507.697, 268674.391 574483.3674, 268283.3753 574312.6398, 267532.796 573617.541, 266369.168 572781.378, 266287.2922 572625.0664, 265359.008 571580.6, 265232.696 571177.692, 264973.681 571066.033, 264726.3755 570763.6844, 264832.49 570694.55, 264999.67 570311.69, 265867.983 569616.012, 265587.0045 569073.7333, 265542.2844 568987.5143, 264124.695 566223.95, 264370.389 566195.313, 265370.878 565466.483, 265600.068 565484.613, 266962.96 565690.438, 267138.27 565629.487, 267434.6603 565762.821, 267820.111 565692.155, 268262.602 565419.3002, 268483.78 565165.1227, 268874.865 565057.936, 268877.348 564745.561, 268937.022 564658.999, 269090.236 564638.486, 269992.6294 565173.057, 270577.429 564350.974, 271014.135 564222.002, 271914.426 562754.165, 272320.259 562951.559, 272923.3306 563247.855, 275581.437 564530.548, 276821.544 564723.879, 276518.0677 566843.1256)))",186209,M000100,None,82.0,GM0007
3,cbs_gemeente_2017_gegeneraliseerd.227609,GM0009,Ten Boer,2017GM0009,gemeente,"MULTIPOLYGON (((245194.6907 592594.0072, 245002.8261 592658.8927, 244692.05 592498.79, 244475.3 591829.24, 244372.02 591779.59, 243112.43 592314.35, 241847.528 590907.251, 240963.436 591594.501, 239905.184 591883.278, 239491.5439 592072.0015, 239442.591 592095.811, 237935.2044 588082.2013, 237647.206 587348.31, 238163.652 586631.974, 238324.266 585993.388, 238352.882 585711.41, 238286.198 585690.653, 238837.6088 584043.2835, 238890.218 583894.651, 239805.2146 584524.1685, 240243.4035 584871.867, 242500.081 586306.544, 243127.4252 586697.219, 244562.1873 587678.5337, 245183.4369 588043.9136, 247393.6 589397.25, 247169.996 589793.133, 247369.03 589920.65, 247210.33 590248.69, 247354.61 590379.57, 246834.3 591061.62, 246578 590734.1, 246225.67 591216.92, 246063.53 591126.27, 245582.8 591829.35, 245492.23 592106.93, 245602.1815 592196.2279, 245622.65 592213.4, 245788.1057 592359.456, 245694.12 592559.07, 245458.62 592566.57, 245329.01 592478.74, 245194.6907 592594.0072)))",246278,M000100,None,161.0,GM0009
4,cbs_gemeente_2017_gegeneraliseerd.227610,GM0010,Delfzijl,2017GM0010,gemeente,"MULTIPOLYGON (((262016.5555 587782.3094, 262403.634 587933.046, 263486.197 587925.256, 263460.203 587234.191, 264095.527 586424.59, 264751.186 586775.831, 264933.086 587021.019, 265310.507 587187.078, 266475.773 585835.021, 266617.147 585924.862, 267170.3631 585287.9823, 267951.379 585950.388, 267770.202 586124.046, 268248.018 586657.389, 268701.6221 586895.3219, 268420.593 587335.7103, 267903.772 587792.951, 267813.061 588413.781, 268037.2638 589406.3029, 268249.1458 589779.5293, 268041.223 590742.889, 268141.32 591460.644, 268483.005 591737.7869, 268896.7208 592274.8135, 269065.301 592308.556, 269154.707 592613.8079, 268988.5355 592679.8844, 269013.425 592623.614, 268639.5257 592521.4909, 268423.773 592319.418, 267998.7473 592158.9387, 268032.535 591911.262, 267920.655 591935.3, 267980.286 592145.7428, 267920.4854 592178.7828, 267516.0981 591738.5563, 265805.8136 591619.2614, 265638.995 591635.713, 265506.8104 591796.2169, 265121.816 591944.443, 265041.473 592158.992, 264580.072 591930.227, 264272.567 591910.564, 263194.6156 592290.9998, 263353.634 592865.735, 263157.1465 593370.1248, 263090.2354 593340.2623, 263197.7514 593146.434, 262536.842 592644.725, 262449.745 592796.243, 262158.595 592931.895, 261321.068 593295.536, 261026.096 593427.3098, 260106.0343 593689.2322, 260067.862 593688.164, 259953.3106 593732.7095, 259117.7132 593970.5867, 258827.964 594123.7954, 258542.8234 593825.5478, 258496.822 593863.633, 258625.412 594113.957, 258598.6923 594230.7405, 258186.8869 594431.2223, 257927.865 594410.5565, 257784.483 594498.848, 257676.2218 594711.2239, 257856.0534 595064.4208, 258063.2779 595179.4545, 258428.7935 594646.7875, 258741.535 594389.954, 260457.251 593923.5, 261218.7374 593583.9683, 261795.686 593417.439, 262516.1077 593363.4345, 262571.0438 593356.982, 262775.0548 593443.5504, 262745.6355 593504.1885, 262249.579 593449.679, 261610.2848 593528.7565, 260486.007 593974.374, 258905.0168 594421.3089, 258693.026 594547.728, 258740.8845 594810.0045, 258316.541 595113.819, 258226.1834 595287.9967, 257784.6644 595407.8742, 257510.5852 595730.8453, 256291.8258 596732.6285, 256130.5826 596722.7269, 255895.727 596725.945, 255689.1456 597110.8136, 255523.581 597684.65, 255476.247 598317.574, 255337.414 598691.253, 255409.16 599184.396, 255227.653 599392.575, 255126.464 599690.585, 255153.4735 599856.3803, 254935.343 600368.427, 254904.794 600748.4903, 255016.94 601369.363, 254914.314 601600.107, 254658.064 601717.371, 254838.585 602105.335, 254207.6208 603126.1459, 253887.3965 603436.4, 253797.718 603425.839, 252992.846 603897.131, 251825.55 604994.652, 248460.703 602833.243, 247456.073 602186.913, 247692.856 601581.767, 248811.373 599761.693, 248891.718 599283.817, 249273.749 598940.291, 249108.409 598663.354, 249832.727 598009.619, 250184.841 598112.19, 250551.9231 598064.6221, 250802.596 597586.357, 250659.143 596827.687, 250811.657 596625.183, 251158.384 596656.064, 251213.46 596363.837, 251378.348 596179.6, 251581.159 596364.682, 251857.594 596435.456, 251999.263 596313.167, 252522.097 596317.759, 253549.285 596082.983, 254010.476 596199.699, 254110.229 596684.641, 254774.5456 596453.0685, 254793.855 596044.448, 254603.842 595659.224, 254580.6743 594573.5057, 254695.9458 594020.4368, 254684.212 593252.836, 254809.0599 592703.1484, 254983.2482 592485.9827, 255043.074 592491.441, 255019.4317 591238.251, 255261.548 590384.174, 255161.3 590302.6, 255303.5 589982.8, 255424.26 590082.33, 255591.88 589875.21, 255100.09 589441.44, 255035.2944 589289.2024, 255058.0061 589151.2157, 256511.26 589123.87, 256471 588170.87, 256609.38 587953.54, 256585.6244 587673.597, 256563.13 587408.57, 256750.83 587396.64, 256724.29 586123.67, 256612.3201 585248.0268, 256745.46 585125.46, 256894.45 585098.42, 257064.7 585199.34, 257450.8 584712.17, 257565.17 584720.35, 257910.8273 584489.0096, 258495.28 585300.17, 258827.84 585061.77, 258989.86 585240.21, 259053.44 585838.17, 259448.59 586689.29, 262016.5555 587782.3094)))",333448,M000100,None,188.0,GM0010
5,cbs_gemeente_2017_gegeneraliseerd.227621,GM0047,Veendam,2017GM0047,gemeente,"MULTIPOLYGON (((250623.4045 572132.283, 249789.635 571744.851, 249981.853 571329.674, 249695.585 571195.56, 250095.2705 568875.1271, 250357.2196 567389.2278, 250623.177 565848.522, 250663.5922 565807.7439, 252212.6597 564239.1295, 252630.4988 563815.185, 253864.356 562563.468, 254115.8643 562783.8826, 254141.8882 562794.3086, 254356.581 562619.211, 255202.804 563230.497, 256408.552 561673.586, 256699.299 561897.711, 256599.785 562026.807, 256981.716 562406.348, 256824.5408 562931.6225, 257610.078 563091.812, 257810.195 563257.639, 257776.14 563576.312, 258675.687 563637, 258644.6392 564078.8188, 258059.39 564532.687, 258337.9163 566102.8243, 258368.555 566274.347, 258426.904 566221.629, 258847.1605 566736.3232, 259301.6 567246.19, 260049.4753 568526.619, 260311.513 568717.7686, 260399.4047 568997.2638, 260432.453 570399.625, 260230.522 571527.787, 259417.6496 571638.613, 258595.391 571931.801, 256514.4894 572263.8641, 256231.9088 572319.2134, 255903.838 572287.8823, 255328.996 572341.841, 255209.689 572024.348, 255154.6832 572038.2724, 255113.36 571975.49, 254542.563 571982.936, 254529.648 571780.483, 253933.3845 571864.956, 252091.7361 571947.3281, 251114.331 572008.091, 250964.875 572290.652, 250623.4045 572132.283)))",1332281,M000100,None,362.0,GM0047
6,cbs_gemeente_2017_gegeneraliseerd.227611,GM0014,Groningen,2017GM0014,gemeente,"MULTIPOLYGON (((243244.3933 584002.7897, 243811.72 584750.24, 243770.1612 584787.1895, 243484.68 585042.3, 243542.71 585202.85, 242852.642 585852.519, 242867.82 586031.84, 242500.081 586306.544, 240243.4035 584871.867, 239805.2146 584524.1685, 238890.218 583894.651, 238837.6088 584043.2835, 238286.198 585690.653, 237238.778 585468.151, 237167.869 585693.713, 236374.771 585672.583, 236363.971 585931.954, 235331.1271 586087.9303, 235109.7338 586121.082, 235080.0139 586129.1446, 235027.476 586146.209, 235161.2402 586891.2478, 234977.51 586881.888, 234872.018 586789.99, 233741.706 586750.451, 233687.853 586983.975, 232762.514 586809.551, 232683.003 586831.276, 232574.0523 587091.0148, 231992.027 586960.391, 231781.775 587008.426, 231880.629 586594.047, 231258.512 586346.491, 230809.205 586229.956, 230538.948 586353.896, 230010.06 586179.595, 229812.403 586251.324, 229813.3154 586217.9252, 229843.98 586049.635, 230032.093 585869.642, 229468.215 585137.843, 229227.347 585219.239, 229005.487 584930.843, 228748.213 584897.021, 228493.824 585284.421, 228001.032 585391.024, 227979.9426 584879.8194, 227742.577 583835.9179, 227307.1511 582082.879, 226974.945 580647.136, 226988.9316 580630.1049, 227147.747 580479.792, 227142.551 580281.016, 226868.864 580018.285, 226919.886 579805.279, 228400.62 580246.48, 228752.123 580000.582, 228926.759 579665.023, 229126.0069 579624.9522, 229818.63 579859.128, 230261.301 579508.955, 230414.56 579663.97, 231406.842 579373.649, 231405.3904 579072.7893, 231680.441 578100.846, 232112.9682 577670.6736, 232237.107 577508.015, 232487.5104 577690.0704, 232615.37 577783.294, 232649.57 577846.91, 233199.32 578087.42, 233248.05 577990.77, 233890.778 578136.096, 234118.414 578007.156, 234451.6502 578014.4297, 234713.67 578055.881, 234720.347 578218.162, 234796.2273 578266.5015, 234805.588 578351.9, 235784.001 578840.2177, 235975.216 578891.947, 235854.227 579364.197, 236268.9014 579542.5292, 236372.952 579564.379, 237520.969 579015.412, 238435.0107 578578.2359, 238532.891 578457.139, 238707.855 578428.879, 239007.6151 578588.2613, 239195.541 578655.173, 238747.6348 578934.3583, 238900.787 579085.222, 239404.158 579270.135, 240197.0709 579994.9351, 240507.884 580245.903, 241012.8 580109.14, 241440.51 580132.35, 241666.2745 580250.9785, 241539.6892 580975.0851, 241356.51 580962.54, 241407.41 581345.52, 241542.5 581381.86, 241561.037 581270.736, 241697.27 581286.18, 242578.435 581690.928, 242525.04 581945.77, 242673.1366 582128.1421, 242787.998 582170.641, 243100.847 582798.351, 243263.98 582889.66, 243046.84 583212.11, 243197.889 583657.503, 243108.3058 583956.7464, 243244.3933 584002.7897)))",549695,M000100,None,2125.0,GM0014
7,cbs_gemeente_2017_gegeneraliseerd.227612,GM0015,Grootegast,2017GM0015,gemeente,"MULTIPOLYGON (((212345.4339 576667.2343, 212742.3176 576812.532, 214237.6986 577339.3533, 214967.127 577619.285, 215156.162 577790.964, 215100.143 577995.377, 214941.209 578024.53, 214824.962 578602.276, 215883.1651 578898.0526, 217017.957 579185.435, 216975.888 579527.716, 217216.6468 579557.0414, 217219.8012 580090.5168, 217342.592 580126.732, 217593.141 579968.168, 217933.699 580138.736, 219092.539 580613.262, 219808.58 580554.119, 220139.1624 580954.4183, 220373.318 581095.319, 221006.9063 581117.129, 221200.409 581147, 221347.397 581426.525, 221908.314 581495.025, 222242.7 581390.741, 222599.532 581583.589, 222861.949 581561.317, 223067.739 581636.137, 222948.521 581984.497, 222823.325 581993.243, 222635.048 582519.605, 222535.505 582494.541, 222044.586 583577.902, 221390.319 583680.089, 221244.973 583750.914, 221160.889 583975.738, 221041.363 584025.61, 220717.929 583876.791, 220750.482 584433.179, 220276.498 584393.415, 220266.572 584293.406, 220164.295 584288.052, 220145.3656 584734.6482, 219829.948 584682.234, 219847.639 585434.942, 218895.558 585219.771, 218888.0541 585481.7358, 217310.992 585192.172, 216819.3743 584993.2138, 216040.611 584948.589, 214524.777 584651.801, 214285.089 585482.354, 214429.552 585577.569, 214348.837 585834.862, 211363.51 585818.36, 211590.29 585537.34, 211500.756 585247.125, 211220.1 585135.4, 211262.53 584941.91, 211389.73 584831.06, 211333.99 584611.37, 210935.25 584549.4, 210547.05 584343.31, 210494.2581 584221.6154, 210789.088 583980.876, 210899.87 584003.12, 210930.071 583899.581, 210620.572 583740.09, 210306.216 583695.653, 210258.7477 583546.3405, 210242.837 583336.738, 210417.06 583296.75, 210485.35 583102.13, 210664.72 583140.5, 210922.0077 582933.5772, 210984.07 582442.13, 211303.88 582078.75, 211294.19 581581.25, 211226.564 581460.3283, 210949.97 581209.25, 210956.51 580915.73, 210797.12 580761.73, 210780.7 580567.2, 210598.15 580274.6, 210258.219 580013.35, 209951.97 579567.73, 209599.9 579546.06, 209288.052 579376.271, 209281.47 578810.58, 209013.888 578622.784, 208537.0334 577610.0309, 208391.5894 577201.6959, 208212.0712 576660.1403, 208098.47 576259.12, 207840.846 575876.798, 207803.6582 575030.1153, 207789.0611 574296.1021, 207768.729 572324.95, 208828.447 572829.038, 211336.28 574545.18, 211456.281 574666.079, 211393.399 574902.93, 211475.712 575079.45, 211657.83 575108.82, 211709.969 575284.83, 211815.18 575814.3, 211776.95 576084.71, 212342.47 576420.609, 212285.1 576633.18, 212345.4339 576667.2343)))",560479,M000100,None,140.0,GM0015
8,cbs_gemeente_2017_gegeneraliseerd.227613,GM0017,Haren,2017GM0017,gemeente,"MULTIPOLYGON (((241309.5503 570883.2736, 242525.1419 571270.0986, 242575.08 571284.16, 242142.68 573739.64, 241912.94 574241.006, 242171.457 574529.03, 242099.6528 574880.0583, 241770.008 575550.726, 241463.218 575836.967, 241439.4365 575960.4308, 241302.932 576138.588, 240291.946 576787.861, 239915.7739 577853.271, 238707.855 578428.879, 238532.891 578457.139, 238435.0107 578578.2359, 237520.969 579015.412, 236372.952 579564.379, 236268.9014 579542.5292, 235854.227 579364.197, 235975.216 578891.947, 235784.001 578840.2177, 234805.588 578351.9, 234796.2273 578266.5015, 234720.347 578218.162, 234713.67 578055.881, 234451.6502 578014.4297, 234118.414 578007.156, 233890.778 578136.096, 233248.05 577990.77, 233199.32 578087.42, 232649.57 577846.91, 232615.37 577783.294, 232628.404 577759.917, 232641.7974 577736.1121, 233380.762 576487.087, 233471.3695 576130.8224, 233502.1356 576021.4604, 233687.7 575207.56, 233764.0218 575229.8551, 234859.001 575866.0359, 235013.583 575344.025, 235256.693 575075.636, 235091.846 574824.942, 235295.8128 574219.2582, 235355.498 573846.217, 236132.63 573786.804, 236371.0289 573491.3265, 236593.534 573198.164, 237112.1199 572805.6914, 237115.386 572671.283, 237445.0359 572162.5933, 237711.699 571665.483, 238017.8589 571388.0478, 238149.412 571046.313, 238078.779 570591.066, 238651.217 570294.905, 238700.049 569795.647, 238551.9778 569546.0928, 240792.8516 570644.0273, 241309.5503 570883.2736)))",613980,M000100,None,431.0,GM0017
9,cbs_gemeente_2017_gegeneraliseerd.227614,GM0018,Hoogezand-Sappemeer,2017GM0018,gemeente,"MULTIPOLYGON (((245789.8295 570831.4752, 245891.8532 570685.6491, 246098.26 570496.552, 246194.124 570282.623, 248063.379 568446.544, 248973.6829 567523.2575, 250623.177 565848.522, 250357.2196 567389.2278, 250095.2705 568875.1271, 249695.585 571195.56, 249981.853 571329.674, 249789.635 571744.851, 249148.1317 573115.665, 249738.9386 573389.86, 249687.768 573533.469, 249850.365 573609.4394, 250276.007 573808.313, 250058.22 574291.999, 250785.596 574274.054, 250629.926 574618.735, 250597.8242 575135.2985, 250583.8555 575931.0048, 250602.4111 576179.8991, 250612.2084 576399.0738, 250657.8534 576540.3092, 250955.35 577529.63, 250868.22 578173.791, 251232.2337 578517.448, 250352.81 578524.68, 250218.382 578617.22, 250118.585 578498.803, 248771.65 578060.26, 247118.89 577829.27, 247147.38 576810.5, 247764.43 576796.56, 247771.6092 576655.0558, 246546.8021 576604.0768, 246512.2873 576602.9345, 246219.0196 576593.2849, 246194.7247 576592.487, 245798.84 576606.3, 244740.2804 576902.6048, 244713.6131 576910.152, 244387.5768 577003.1256, 244028.4872 577105.4723, 243955.0425 577138.9882, 241817.42 579778.48, 241512.39 580086.06, 241012.8 580109.14, 240507.884 580245.903, 240197.0709 579994.9351, 239404.158 579270.135, 238900.787 579085.222, 238747.6348 578934.3583, 239195.541 578655.173, 239007.6151 578588.2613, 238707.855 578428.879, 239915.7739 577853.271, 240291.946 576787.861, 241302.932 576138.588, 241439.4365 575960.4308, 241463.218 575836.967, 241770.008 575550.726, 242099.6528 574880.0583, 242171.457 574529.03, 241912.94 574241.006, 242142.68 573739.64, 242575.08 571284.16, 244140.5552 571209.5215, 244299.514 571205.4546, 244444.3225 571193.3841, 245395.75 571145.367, 245733.288 570807.634, 245789.8295 570831.4752)))",719047,M000100,None,515.0,GM0018
